Time_step,gnss_dr_lat,gnss_dr_long,vrtk_lat,vrtk_long,gt_lat,gt_long,vrtk_plus_code
1,37.376739,126.6661902,,,37.3767394,126.6661906,8Q989MG8+GWC2
2,37.37673733,126.6661865,,,37.37673813,126.6661873,8Q989MG8+GWC2
3,37.37673367,126.6661828,,,37.37673487,126.666184,8Q989MG8+GWC2
4,37.37672917,126.6661817,,,37.37673077,126.6661833,8Q989MG8+GWC6
5,37.37672483,126.6661827,,,37.37672683,126.6661847,8Q989MG8+GWCC
6,37.37672317,126.6661873,,,37.37672557,126.6661897,8Q989MG8+GWCF
7,37.3767245,126.6661925,,,37.3767273,126.6661953,8Q989MG8+GWCM
8,37.37672617,126.6661988,,,37.37672937,126.666202,8Q989MG8+GWCM
9,37.37672783,126.6662037,,,37.37673143,126.6662073,8Q989MG8+GWCW
10,37.37672983,126.6662082,,,37.37673383,126.6662122,8Q989MG8+GWJ4
11,37.3767325,126.6662132,,,37.3767369,126.6662176,8Q989MG8+GWJ8
12,37.376736,126.6662168,,,37.3767408,126.6662216,8Q989MG8+GWJH
13,37.3767415,126.6662223,,,37.3767467,126.6662275,8Q989MG8+GWJH
14,37.3767475,126.6662288,,,37.3767531,126.6662344,8Q989MG8+GWJQ
15,37.37675417,126.6662343,,,37.37676017,126.6662403,8Q989MG8+GWMR
16,37.3767605,126.6662375,,,37.3767669,126.6662439,8Q989MG8+GWMR
17,37.3767665,126.6662398,,,37.3767733,126.6662466,8Q989MG8+GWV2
18,37.37677233,126.6662435,,,37.37677953,126.6662507,8Q989MG8+GWV7
19,37.37677783,126.6662487,,,37.37678543,126.6662563,8Q989MG8+GWVF
20,37.3767825,126.6662542,,,37.3767905,126.6662622,8Q989MG8+GWVG
21,37.37678783,126.6662607,,,37.37679623,126.6662691,8Q989MG8+GWVP
22,37.37679217,126.6662675,,,37.37680097,126.6662763,8Q989MG8+GWVW
23,37.37679567,126.6662732,,,37.37680487,126.6662824,8Q989MG8+HW35
24,37.3768,126.6662772,,,37.3768096,126.6662868,8Q989MG8+HW35
25,37.37680567,126.666282,,,37.37681567,126.666292,8Q989MG8+HW46
26,37.37681183,126.6662882,,,37.37682223,126.6662986,8Q989MG8+HW4C
27,37.37681733,126.6662932,,,37.37682813,126.666304,8Q989MG8+HW4M
28,37.37682333,126.6662985,,,37.37683453,126.6663097,8Q989MG8+HW4V
29,37.3768305,126.6663028,,,37.3768421,126.6663144,8Q989MG8+HW4W
30,37.37683567,126.6663085,,,37.37684767,126.6663205,8Q989MG8+HW84
31,37.37684083,126.6663163,,,37.37685323,126.6663287,8Q989MG8+HW89
32,37.37684683,126.6663235,,,37.37685963,126.6663363,8Q989MG8+HW8H
33,37.37685383,126.6663295,,,37.37686703,126.6663427,8Q989MG8+HW9J
